"ComputerName","AppID","AppName","Publisher","Version"
"UDRTSS114","{90140000-0054-0409-0000-0000000FF1CE}_Office14.VISIO_{CDC4310F-8189-485F-B47D-D972217CE173}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}","Microsoft Office Visio 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{01D8AE4B-A04D-47E5-81BF-E3F98B81B8C3}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{087F5BD1-DC1E-4237-A71E-467073CFE87D}","","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{1EE5FA17-F624-438C-B7AC-7C5A41E90FA2}","Security Update for Microsoft Office 2010 (KB2810073) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{4D6FE7B6-559F-4DAC-92CF-A01C24046AEB}","Security Update for Microsoft Office 2010 (KB2687423) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{5EE42B42-1159-435C-898A-2A3298453B20}","Security Update for Microsoft Office 2010 (KB2880971) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{7AC3F78E-ECA0-45F4-A9CC-3E885DA23662}","Security Update for Microsoft Office 2010 (KB2850016) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{B5489515-6DD4-47A5-AE4E-64751D15F10E}","Security Update for Microsoft Office 2010 (KB2598243) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{BC3AD7F4-A075-4C9E-A33A-0FA4F8EBCA96}","Security Update for Microsoft Visio 2010 (KB2810068) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{DCE6D0BF-93E4-46C5-9A7C-F1EFF9707C02}","Security Update for Microsoft Office 2010 (KB2589320) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0057-0000-0000-0000000FF1CE}_Office14.VISIO_{EC2CA755-17D8-4392-A91E-FD4D2DD31072}","Security Update for Microsoft Office 2010 (KB2826023) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-006E-0409-0000-0000000FF1CE}","Microsoft Office Shared MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-006E-0409-0000-0000000FF1CE}_Office14.PROPLUS_{4560037C-E356-444A-A015-D21F487D809E}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-006E-0409-0000-0000000FF1CE}_Office14.PROPLUS_{688AC276-B332-4A76-AEB0-708AAAE669E5}","Security Update for Microsoft Office 2010 (KB2553284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-006E-0409-0000-0000000FF1CE}_Office14.VISIO_{4560037C-E356-444A-A015-D21F487D809E}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-006E-0409-0000-0000000FF1CE}_Office14.VISIO_{688AC276-B332-4A76-AEB0-708AAAE669E5}","Security Update for Microsoft Office 2010 (KB2553284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-00A1-0409-0000-0000000FF1CE}","Microsoft Office OneNote MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-00BA-0409-0000-0000000FF1CE}","Microsoft Office Groove MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-0115-0409-0000-0000000FF1CE}","Microsoft Office Shared Setup Metadata MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-0115-0409-0000-0000000FF1CE}_Office14.PROPLUS_{4560037C-E356-444A-A015-D21F487D809E}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0115-0409-0000-0000000FF1CE}_Office14.VISIO_{4560037C-E356-444A-A015-D21F487D809E}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0116-0409-1000-0000000FF1CE}_Office14.PROPLUS_{D6C6B46A-6CE1-4561-84A0-EFD58B8AB979}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0116-0409-1000-0000000FF1CE}_Office14.VISIO_{D6C6B46A-6CE1-4561-84A0-EFD58B8AB979}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0117-0409-0000-0000000FF1CE}","Microsoft Office Access Setup Metadata MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{9169C939-ED01-446A-BD0C-29873BAF4E48}","Prerequisites for SSDT ","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{95120000-00B9-0409-0000-0000000FF1CE}","Microsoft Application Error Reporting","Microsoft Corporation","12.0.6012.5000"
"UDRTSS114","{996E0DF2-3490-4A5A-908F-470C4FB26363}","Microsoft Excel 2010 Interactive Guide","Microsoft","1.2.1"
"UDRTSS114","{9BE518E6-ECC6-35A9-88E4-87755C07200F}","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","Microsoft Corporation","9.0.30729.6161"
"UDRTSS114","{9CCE40CE-A9E6-4916-8729-B008558EEF3F}","Microsoft Report Viewer 2012 Runtime","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{A0B433B1-941D-46F5-AE59-286263534232}","VMware vSphere Client U2 4.1.0.17435","VMware, Inc.","4.1.0.17435"
