"Collection Name","CollectionID","Start Time","Duration in minutes","Maintenance Window Name","Maintenance Window Recurrence","Enabled"
"TS_AppDep.GME.PRD.AS.Shipnet._DG2","CEN0264A","02:00:00 AM","240","DG2 Shipnet Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.SIMTRONICS","CEN02AF4","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.SIMTRONICS","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.SrvOps","CEN02AF5","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.SrvOps","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.TM1","CEN0264D","02:00:00 AM","240","TM1 Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.TM1._DG1","CEN0264E","02:00:00 AM","240","DG1 TM1 Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.TM1._DG2","CEN0264F","02:00:00 AM","240","DG2 TM1 Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.TMS","CEN02650","02:00:00 AM","240","TMS Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.TMS._DG1","CEN02651","02:00:00 AM","240","DG1 TMS Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.TMS._DG2","CEN02652","02:00:00 AM","240","DG2 TMS Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.UC4Batch","CEN02653","02:00:00 AM","240","UC4Batch Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.UPK","CEN02654","02:00:00 AM","240","UPK Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.UPK-GEMS","CEN02668","02:00:00 AM","240","UPK-GEMS Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.Wellview","CEN02669","02:00:00 AM","240","Wellview Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.WorkPermit","CEN02AF6","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.WorkPermit","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.WQ1","CEN0266A","02:00:00 AM","240","WQ1 Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.WQ1._DG1","CEN0266B","02:00:00 AM","240","DG1 WQ1 Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.WQ1._DG2","CEN0266C","02:00:00 AM","240","DG2 WQ1 Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.XTO","CEN0266D","02:00:00 AM","240","XTO Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.XTO._DG1","CEN0266E","02:00:00 AM","240","DG1 XTO Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP","CEN0266F","02:00:00 AM","240","General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP._DG1","CEN02670","02:00:00 AM","240","DG1 General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP._DG2","CEN02671","02:00:00 AM","240","DG2 General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.ABB","CEN02679","02:00:00 AM","240","ABB General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.ABU","CEN0267A","02:00:00 AM","240","ABU General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.BKK","CEN0267B","02:00:00 AM","240","BKK General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.BSR","CEN02AF7","02:00:00 AM","240","TS_AppDep.GME.PRD.GP.BSR","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.GP.CAL","CEN0267C","02:00:00 AM","240","CAL General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.CAL._DG1","CEN0267D","02:00:00 AM","240","DG1 CAL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.CAL._DG2","CEN0267E","02:00:00 AM","240","DG2 CAL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.CEP","CEN02688","02:00:00 AM","240","CEP General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.CTC","CEN0268A","02:00:00 AM","240","CTC General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.CTC._DG1","CEN0268B","02:00:00 AM","240","DG1 CTC General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.CTC._DG2","CEN0268C","02:00:00 AM","240","DG2 CTC General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.DAL","CEN0268E","02:00:00 AM","240","DAL General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
